Benchmark finished!
|     |   batch |   q_seq_length |   kv_seq_length |   num_heads_q |   num_heads_kv |   head_dim | causal   | local   | use_sinks   |   page_size | provider   |     tflops |   bandwidth |         ms |
| 138 |       8 |            128 |            4096 |            16 |              4 |        128 | True     | False   | False       |           0 | flash_attn | 42.732     |    93.8935  |   0.804076 |
| 139 |       8 |            128 |            4096 |            16 |              4 |        128 | True     | False   | False       |         128 | flash_attn | 18.2433    |    40.0854  |   1.88341  |
| 140 |       8 |            128 |            1024 |            16 |              8 |        128 | True     | False   | False       |           0 | flash_attn | 35.9033    |   175.309   |   0.239252 |
| 141 |       8 |            128 |            1024 |            16 |              8 |        128 | True     | False   | False       |         128 | flash_attn | 17.3247    |    84.5933  |   0.49582  |
| 142 |       8 |            128 |            4096 |            16 |              8 |        128 | True     | False   | False       |           0 | flash_attn | 40.4855    |   168.031   |   0.848692 |
| 143 |       8 |            128 |            4096 |            16 |              8 |        128 | True     | False   | False       |         128 | flash_attn | 18.9374    |    78.5977  |   1.81438  |
| 144 |       8 |            128 |            1024 |            16 |              4 |        256 | True     | False   | False       |           0 | flash_attn | 23.7899    |    69.6969  |   0.72215  |
| 145 |       8 |            128 |            1024 |            16 |              4 |        256 | True     | False   | False       |         128 | flash_attn | 18.7829    |    55.0281  |   0.914654 |
| 146 |       8 |            128 |            4096 |            16 |              4 |        256 | True     | False   | False       |           0 | flash_attn | 25.4062    |    55.8241  |   2.70483  |
| 147 |       8 |            128 |            4096 |            16 |              4 |        256 | True     | False   | False       |         128 | flash_attn | 19.3017    |    42.4109  |   3.56028  |
| 148 |       8 |            128 |            1024 |            16 |              8 |        256 | True     | False   | False       |           0 | flash_attn | 24.0979    |   117.665   |   0.71292  |
| 149 |       8 |            128 |            1024 |            16 |              8 |        256 | True     | False   | False       |         128 | flash_attn | 19.0554    |    93.0438  |   0.901576 |
| 150 |       8 |            128 |            4096 |            16 |              8 |        256 | True     | False   | False       |           0 | flash_attn | 25.6799    |   106.582   |   2.676    |
| 151 |       8 |            128 |            4096 |            16 |              8 |        256 | True     | False   | False       |         128 | flash_attn | 19.5715    |    81.2295  |   3.5112   |
| 152 |       8 |            128 |            1024 |            16 |              4 |        512 | True     | False   | False       |           0 | flash_attn |  1.92982   |     5.65378 |  17.8046   |
| 153 |       8 |            128 |            1024 |            16 |              4 |        512 | True     | False   | False       |         128 | flash_attn |  6.6756    |    19.5574  |   5.14706  |
| 154 |       8 |            128 |            4096 |            16 |              4 |        512 | True     | False   | False       |           0 | flash_attn |  1.83862   |     4.03993 |  74.7512   |
| 155 |       8 |            128 |            4096 |            16 |              4 |        512 | True     | False   | False       |         128 | flash_attn |  6.77864   |    14.8945  |  20.2753   |
| 156 |       8 |            128 |            1024 |            16 |              8 |        512 | True     | False   | False       |           0 | flash_attn |  1.89882   |     9.2716  |  18.0953   |
| 157 |       8 |            128 |            1024 |            16 |              8 |        512 | True     | False   | False       |         128 | flash_attn |  6.36286   |    31.0687  |   5.40004  |
| 158 |       8 |            128 |            4096 |            16 |              8 |        512 | True     | False   | False       |           0 | flash_attn |  1.85643   |     7.70491 |  74.034    |
| 159 |       8 |            128 |            4096 |            16 |              8 |        512 | True     | False   | False       |         128 | flash_attn |  6.47967   |    26.8932  |  21.2108   |
| 160 |      16 |            128 |            1024 |            16 |              4 |         64 | True     | False   | False       |           0 | flash_attn | 33.4801    |    98.0864  |   0.256568 |
| 161 |      16 |            128 |            1024 |            16 |              4 |         64 | True     | False   | False       |         128 | flash_attn | 37.6032    |   110.166   |   0.228436 |
| 162 |      16 |            128 |            4096 |            16 |              4 |         64 | True     | False   | False       |           0 | flash_attn | 37.8661    |    83.202   |   0.9074   |
| 163 |      16 |            128 |            4096 |            16 |              4 |         64 | True     | False   | False       |         128 | flash_attn | 43.457     |    95.4866  |   0.79066  |
| 164 |      16 |            128 |            1024 |            16 |              8 |         64 | True     | False   | False       |           0 | flash_attn | 33.2912    |   162.555   |   0.258024 |
| 165 |      16 |            128 |            1024 |            16 |              8 |         64 | True     | False   | False       |         128 | flash_attn | 36.2182    |   176.847   |   0.237172 |
| 166 |      16 |            128 |            4096 |            16 |              8 |         64 | True     | False   | False       |           0 | flash_attn | 37.4434    |   155.405   |   0.917644 |
| 167 |      16 |            128 |            4096 |            16 |              8 |         64 | True     | False   | False       |         128 | flash_attn | 41.4975    |   172.231   |   0.827996 |
| 168 |      16 |            128 |            1024 |            16 |              4 |        128 | True     | False   | False       |           0 | flash_attn | 44.3645    |   129.974   |   0.387244 |
| 169 |      16 |            128 |            1024 |            16 |              4 |        128 | True     | False   | False       |         128 | flash_attn | 20.1698    |    59.0913  |   0.85176  |
| 170 |      16 |            128 |            4096 |            16 |              4 |        128 | True     | False   | False       |           0 | flash_attn | 48.7919    |   107.209   |   1.40842  |
| 171 |      16 |            128 |            4096 |            16 |              4 |        128 | True     | False   | False       |         128 | flash_attn | 20.969     |    46.0744  |   3.2772   |
| 172 |      16 |            128 |            1024 |            16 |              8 |        128 | True     | False   | False       |           0 | flash_attn | 42.4492    |   207.271   |   0.404716 |
| 173 |      16 |            128 |            1024 |            16 |              8 |        128 | True     | False   | False       |         128 | flash_attn | 20.2069    |    98.6663  |   0.8502   |
| 174 |      16 |            128 |            4096 |            16 |              8 |        128 | True     | False   | False       |           0 | flash_attn | 46.3792    |   192.492   |   1.48169  |
| 175 |      16 |            128 |            4096 |            16 |              8 |        128 | True     | False   | False       |         128 | flash_attn | 20.995     |    87.1373  |   3.27314  |
| 176 |      16 |            128 |            1024 |            16 |              4 |        256 | True     | False   | False       |           0 | flash_attn | 25.8303    |    75.6746  |   1.33021  |
| 177 |      16 |            128 |            1024 |            16 |              4 |        256 | True     | False   | False       |         128 | flash_attn | 20.366     |    59.666   |   1.68711  |
| 178 |      16 |            128 |            4096 |            16 |              4 |        256 | True     | False   | False       |           0 | flash_attn | 27.1701    |    59.7     |   5.05846  |
| 179 |      16 |            128 |            4096 |            16 |              4 |        256 | True     | False   | False       |         128 | flash_attn | 20.8192    |    45.7453  |   6.60156  |
| 180 |      16 |            128 |            1024 |            16 |              8 |        256 | True     | False   | False       |           0 | flash_attn | 26.1959    |   127.909   |   1.31165  |
| 181 |      16 |            128 |            1024 |            16 |              8 |        256 | True     | False   | False       |         128 | flash_attn | 20.6582    |   100.87    |   1.66325  |
| 182 |      16 |            128 |            4096 |            16 |              8 |        256 | True     | False   | False       |           0 | flash_attn | 27.3016    |   113.312   |   5.03409  |
| 183 |      16 |            128 |            4096 |            16 |              8 |        256 | True     | False   | False       |         128 | flash_attn | 21.0937    |    87.5469  |   6.51565  |
| 184 |      16 |            128 |            1024 |            16 |              4 |        512 | True     | False   | False       |           0 | flash_attn |  1.95792   |     5.73609 |  35.0983   |
| 185 |      16 |            128 |            1024 |            16 |              4 |        512 | True     | False   | False       |         128 | flash_attn |  7.08541   |    20.758   |   9.69873  |
| 186 |      16 |            128 |            4096 |            16 |              4 |        512 | True     | False   | False       |           0 | flash_attn |  1.87996   |     4.13078 | 146.214    |
| 187 |      16 |            128 |            4096 |            16 |              4 |        512 | True     | False   | False       |         128 | flash_attn |  7.15637   |    15.7244  |  38.4103   |
| 188 |      16 |            128 |            1024 |            16 |              8 |        512 | True     | False   | False       |           0 | flash_attn |  1.94349   |     9.48968 |  35.3589   |
